borough_code,year_asdate,population
E09000001,2011-01-01,7412
E09000001,2012-01-01,7204
E09000001,2013-01-01,6848
E09000001,2014-01-01,6872
E09000001,2015-01-01,7160
E09000001,2016-01-01,7401
E09000001,2017-01-01,7405
E09000001,2018-01-01,7681
E09000001,2019-01-01,7953
E09000001,2020-01-01,8046
E09000001,2021-01-01,8164
E09000001,2022-01-01,8289
E09000001,2023-01-01,8408
E09000002,2011-01-01,187418
E09000002,2012-01-01,190949
E09000002,2013-01-01,194741
E09000002,2014-01-01,198683
E09000002,2015-01-01,202368
E09000002,2016-01-01,206849
E09000002,2017-01-01,210513
E09000002,2018-01-01,212773
E09000002,2019-01-01,214858
E09000002,2020-01-01,218367
E09000002,2021-01-01,221495
E09000002,2022-01-01,224407
E09000002,2023-01-01,226988
E09000003,2011-01-01,357653
E09000003,2012-01-01,364071
E09000003,2013-01-01,369203
E09000003,2014-01-01,375030
E09000003,2015-01-01,379806
E09000003,2016-01-01,386198
E09000003,2017-01-01,391446
E09000003,2018-01-01,397049
E09000003,2019-01-01,402363
E09000003,2020-01-01,407148
E09000003,2021-01-01,411275
E09000003,2022-01-01,415041
E09000003,2023-01-01,418291
E09000004,2011-01-01,233002
E09000004,2012-01-01,234499
E09000004,2013-01-01,236915
E09000004,2014-01-01,240093
E09000004,2015-01-01,242370
E09000004,2016-01-01,244988
E09000004,2017-01-01,247179
E09000004,2018-01-01,249999
E09000004,2019-01-01,252885
E09000004,2020-01-01,254970
E09000004,2021-01-01,256845
E09000004,2022-01-01,258607
E09000004,2023-01-01,260232
E09000005,2011-01-01,313084
E09000005,2012-01-01,315499
E09000005,2013-01-01,318103
E09000005,2014-01-01,321601
E09000005,2015-01-01,324851
E09000005,2016-01-01,329093
E09000005,2017-01-01,332750
E09000005,2018-01-01,336859
E09000005,2019-01-01,340710
E09000005,2020-01-01,343853
E09000005,2021-01-01,346437
E09000005,2022-01-01,348783
E09000005,2023-01-01,350714
E09000006,2011-01-01,311110
E09000006,2012-01-01,314592
E09000006,2013-01-01,318455
E09000006,2014-01-01,321834
E09000006,2015-01-01,325413
E09000006,2016-01-01,327445
E09000006,2017-01-01,330909
E09000006,2018-01-01,332733
E09000006,2019-01-01,334292
E09000006,2020-01-01,336395
E09000006,2021-01-01,339466
E09000006,2022-01-01,342548
E09000006,2023-01-01,345216
E09000007,2011-01-01,220087
E09000007,2012-01-01,224961
E09000007,2013-01-01,229718
E09000007,2014-01-01,234845
E09000007,2015-01-01,241058
E09000007,2016-01-01,246180
E09000007,2017-01-01,249556
E09000007,2018-01-01,252637
E09000007,2019-01-01,255526
E09000007,2020-01-01,257384
E09000007,2021-01-01,259344
E09000007,2022-01-01,261082
E09000007,2023-01-01,262494
E09000008,2011-01-01,364815
E09000008,2012-01-01,368886
E09000008,2013-01-01,372752
E09000008,2014-01-01,376040
E09000008,2015-01-01,379031
E09000008,2016-01-01,382304
E09000008,2017-01-01,386346
E09000008,2018-01-01,391296
E09000008,2019-01-01,396548
E09000008,2020-01-01,400272
E09000008,2021-01-01,403461
E09000008,2022-01-01,406399
E09000008,2023-01-01,411580
E09000009,2011-01-01,339665
E09000009,2012-01-01,341022
E09000009,2013-01-01,342845
E09000009,2014-01-01,342469
E09000009,2015-01-01,343410
E09000009,2016-01-01,343547
E09000009,2017-01-01,347126
E09000009,2018-01-01,350784
E09000009,2019-01-01,354184
E09000009,2020-01-01,361833
E09000009,2021-01-01,369685
E09000009,2022-01-01,377916
E09000009,2023-01-01,385818
E09000010,2011-01-01,314011
E09000010,2012-01-01,317363
E09000010,2013-01-01,320600
E09000010,2014-01-01,324650
E09000010,2015-01-01,328509
E09000010,2016-01-01,331471
E09000010,2017-01-01,335647
E09000010,2018-01-01,337697
E09000010,2019-01-01,339480
E09000010,2020-01-01,342993
E09000010,2021-01-01,346635
E09000010,2022-01-01,349994
E09000010,2023-01-01,352879
E09000011,2011-01-01,255483
E09000011,2012-01-01,260068
E09000011,2013-01-01,264008
E09000011,2014-01-01,268678
E09000011,2015-01-01,274803
